cycle,timestamp,datetime,table_size,unicast_forwarded,flooded,mac_learned,mac_updated,mac_expired,mac_evicted,unknown_unicast_events,avg_ttl,avg_priority,avg_forwarding_score
1,1782796197.928,2026-06-30 05:09:57,19,0,8,19,0,0,0,8,21.13,0.1849,0.2408
2,1782796203.015,2026-06-30 05:10:03,19,8,0,19,11,0,0,8,27.19,0.3089,0.5363
3,1782796208.549,2026-06-30 05:10:08,20,8,0,22,37,2,0,8,25.98,0.4731,0.5244
4,1782796213.989,2026-06-30 05:10:13,13,8,0,24,52,11,0,8,32.24,0.5708,0.5766
5,1782796219.532,2026-06-30 05:10:19,20,8,0,33,68,13,0,8,25.76,0.4558,0.5226
6,1782796224.91,2026-06-30 05:10:24,20,8,0,34,92,14,0,8,25.58,0.7691,0.5217
7,1782796230.544,2026-06-30 05:10:30,15,6,2,36,117,21,0,10,30.21,0.5421,0.4863
8,1782796236.103,2026-06-30 05:10:36,13,8,0,41,137,28,0,10,32.0,0.5151,0.5758
9,1782796241.791,2026-06-30 05:10:41,20,6,2,50,155,30,0,12,24.6,0.6964,0.4582
10,1782796247.445,2026-06-30 05:10:47,17,6,2,52,180,35,0,14,26.15,0.5008,0.4612
11,1782796252.963,2026-06-30 05:10:52,17,8,0,55,202,38,0,14,27.86,0.5338,0.5413
12,1782796258.7,2026-06-30 05:10:58,14,6,2,60,224,46,0,16,26.27,0.8317,0.4481
13,1782796264.683,2026-06-30 05:11:04,19,6,2,70,259,51,0,18,25.89,0.6647,0.4649
14,1782796270.756,2026-06-30 05:11:10,22,8,0,75,311,53,0,18,23.47,1.1031,0.5023
15,1782796277.047,2026-06-30 05:11:17,17,8,0,77,375,60,0,18,26.92,1.0242,0.5311
16,1782796283.453,2026-06-30 05:11:23,18,6,2,86,434,68,0,20,24.4,1.1241,0.4483
17,1782796289.768,2026-06-30 05:11:29,21,8,0,92,494,71,0,20,23.5,1.5164,0.5025
18,1782796296.133,2026-06-30 05:11:36,17,6,2,97,557,80,0,22,26.92,0.9706,0.4656
19,1782796302.476,2026-06-30 05:11:42,20,6,2,106,616,86,0,24,22.53,1.0569,0.4388
20,1782796308.746,2026-06-30 05:11:48,20,8,0,110,678,90,0,24,23.95,1.5777,0.5064
21,1782796315.129,2026-06-30 05:11:55,16,8,0,114,740,98,0,24,27.71,1.0439,0.5377
22,1782796321.616,2026-06-30 05:12:01,20,6,2,124,798,104,0,26,21.49,1.0652,0.4302
23,1782796328.132,2026-06-30 05:12:08,22,4,4,132,860,110,0,30,22.18,1.4184,0.3903
